idx,lat,long,sri-dir,sri-lag,sri-scale,weight,lon1,lat1,hit@1
0,0.8192198727182461,0.3188523427947894,0.1644917896660567,0.0052104640979758,0.0604015490837488,353,18.26889353,46.9378412,1
1,0.8521728859427002,0.074376871930453,0.00587920398245,0.0088161910108612,0.0658904414684253,820,4.261480855,48.82590978,1
2,0.8444834094447078,0.2851430564142977,0.053849475863836,0.0913649211575142,0.0520340718602514,454,16.33749369,48.38533523,1
3,0.927396805167255,0.1973733878150291,0.063361829217856,0.135627548423928,0.0,414,11.30866211,53.13592287,1
4,0.8210188556603749,0.3239916736931982,0.1343515455270258,0.0747311235661556,0.0525772991511229,357,18.5633555,47.04091533,1
5,0.9955380987002028,0.1602567995414648,0.2302873860197627,0.0051682593017637,0.0,170,9.182038252,57.0401314,0
6,0.6807870223860681,-0.0340701015256155,0.0397163375424543,0.0179342199593206,0.0012775254671982,246,-1.952073025,39.00622313,1
7,0.7705898655226237,0.4988325302996202,0.0134430177353013,0.0030747518490292,0.1439654597601324,181,28.58099867,44.15154703,1
8,0.6814551709011128,-0.0349108200115033,0.0399670647838695,0.0139605920876672,0.0109037964629309,250,-2.000242646,39.04450522,1
9,0.8411960566658352,0.2044402596412087,0.0654550233818331,0.0077467294030911,0.0010463176227289,654,11.71356404,48.19698379,1
10,0.821519198970888,0.3243240116099143,0.1340548207373753,0.086127406331719,0.0727480817153281,358,18.58239706,47.06958289,1
11,0.8324533455227636,0.2955296689197463,0.055253706896071,0.1891024958435976,0.0693553272979937,420,16.93260275,47.69606334,1
12,0.8257550907252637,0.2923651833059568,0.1896387887668739,0.0607360003334103,0.0824750813255678,394,16.75129108,47.31228161,1
13,0.8530044625510457,0.0755970966414902,0.0951017001054756,0.0079259582647733,0.0925328984665647,841,4.331394581,48.87355561,1
14,0.8540913066524647,0.0805036819849326,0.0830691241827046,0.0264309070459051,0.0752782218548187,899,4.612521213,48.93582719,1
