image_id,lon,lat,hit@1,hit@3,reciprocal_rank,category,predicted_categories
2133,18.26889353,46.9378412,1,1,1.0,AnnualCrop,"['AnnualCrop', 'PermanentCrop', 'Pasture', 'HerbaceousVegetation', 'Residential']"
3140,4.261480855,48.82590978,1,1,1.0,AnnualCrop,"['AnnualCrop', 'PermanentCrop', 'Pasture', 'HerbaceousVegetation', 'Forest']"
2933,16.33749369,48.38533523,1,1,1.0,AnnualCrop,"['AnnualCrop', 'Pasture', 'HerbaceousVegetation', 'PermanentCrop', 'Residential']"
2928,11.30866211,53.13592287,1,1,1.0,AnnualCrop,"['AnnualCrop', 'Pasture', 'HerbaceousVegetation', 'PermanentCrop', 'Forest']"
2823,18.5633555,47.04091533,1,1,1.0,AnnualCrop,"['AnnualCrop', 'PermanentCrop', 'Pasture', 'HerbaceousVegetation', 'Highway']"
3531,9.182038252,57.0401314,1,1,1.0,AnnualCrop,"['AnnualCrop', 'Pasture', 'HerbaceousVegetation', 'PermanentCrop', 'Residential']"
3214,-1.952073025,39.00622313,1,1,1.0,AnnualCrop,"['AnnualCrop', 'PermanentCrop', 'Pasture', 'HerbaceousVegetation', 'Residential']"
2504,28.58099867,44.15154703,1,1,1.0,AnnualCrop,"['AnnualCrop', 'Pasture', 'PermanentCrop', 'Residential', 'HerbaceousVegetation']"
4964,-2.000242646,39.04450522,1,1,1.0,AnnualCrop,"['AnnualCrop', 'Pasture', 'HerbaceousVegetation', 'PermanentCrop', 'River']"
4395,11.71356404,48.19698379,1,1,1.0,AnnualCrop,"['AnnualCrop', 'Pasture', 'PermanentCrop', 'HerbaceousVegetation', 'Residential']"
3996,18.58239706,47.06958289,1,1,1.0,AnnualCrop,"['AnnualCrop', 'PermanentCrop', 'Pasture', 'Residential', 'HerbaceousVegetation']"
3958,16.93260275,47.69606334,1,1,1.0,AnnualCrop,"['AnnualCrop', 'Pasture', 'PermanentCrop', 'HerbaceousVegetation', 'Highway']"
3384,16.75129108,47.31228161,1,1,1.0,AnnualCrop,"['AnnualCrop', 'PermanentCrop', 'Pasture', 'HerbaceousVegetation', 'Residential']"
2894,4.331394581,48.87355561,1,1,1.0,AnnualCrop,"['AnnualCrop', 'Pasture', 'HerbaceousVegetation', 'PermanentCrop', 'Residential']"
2828,4.612521213,48.93582719,1,1,1.0,AnnualCrop,"['AnnualCrop', 'Pasture', 'HerbaceousVegetation', 'PermanentCrop', 'Residential']"
4920,2.512347378,49.06303928,1,1,1.0,AnnualCrop,"['AnnualCrop', 'Pasture', 'PermanentCrop', 'HerbaceousVegetation', 'Residential']"
3683,4.405090019,48.8113647,1,1,1.0,AnnualCrop,"['AnnualCrop', 'PermanentCrop', 'Pasture', 'HerbaceousVegetation', 'Residential']"
4574,4.01540939,48.45358546,1,1,1.0,AnnualCrop,"['AnnualCrop', 'PermanentCrop', 'Pasture', 'HerbaceousVegetation', 'Residential']"
